dataset,selector,mean_accuracy_original,mean_accuracy_removed,accuracy_change_after_proxy_removal,mean_joint_mi_original,mean_joint_mi_removed,joint_mi_drop_after_proxy_removal,mean_attacker_ba_original,mean_attacker_ba_removed,attacker_ba_drop_after_proxy_removal
adult,SubsetFACMIM_lambda0.5,0.8124444444444444,0.8086666666666668,-0.0037777777777776578,0.7857500671430095,0.551601706813253,0.2341483603297565,0.7415707909843592,0.5108124615765395,0.2307583294078197
adult,ProxyRank_lambda1.0,0.8291111111111111,0.8119999999999999,-0.017111111111111188,0.7552194035599147,0.6669760712341315,0.08824333232578319,0.6698456674304785,0.5490542838665379,0.12079138356394059
adult,SubsetFACMIM_lambda1.0,0.8302222222222223,0.807111111111111,-0.023111111111111304,0.6167411092150097,0.551601706813253,0.06513940240175664,0.6320150260680724,0.5108124615765395,0.12120256449153288
adult,FairLasso_lambda0.0,0.8180000000000001,0.7731111111111111,-0.04488888888888898,0.8545242401154987,0.7956425608371926,0.05888167927830601,0.8188368769411333,0.6614663590128464,0.15737051792828682
adult,BasicFACMIM_lambda0.0,0.8395555555555556,0.7982222222222223,-0.04133333333333333,0.898943700437556,0.8548338357466392,0.04410986469091682,0.8392102930961526,0.6619613729450934,0.1772489201510592
adult,CMIM,0.8395555555555556,0.7982222222222223,-0.04133333333333333,0.898943700437556,0.8548338357466392,0.04410986469091682,0.8392102930961526,0.6619613729450934,0.1772489201510592
adult,SubsetFACMIM_lambda0.0,0.8395555555555556,0.7982222222222223,-0.04133333333333333,0.898943700437556,0.8548338357466392,0.04410986469091682,0.8392102930961526,0.6619613729450934,0.1772489201510592
adult,FairLasso_lambda0.5,0.8153333333333332,0.7742222222222223,-0.04111111111111099,0.8356685891770592,0.7956425608371909,0.04002602833986835,0.8222780221798178,0.6614663590128464,0.16081166316697137
adult,ProxyRank_lambda0.5,0.8373333333333334,0.8006666666666667,-0.036666666666666625,0.8824576631354262,0.8498273190770895,0.03263034405833665,0.748554878681666,0.6624623749491014,0.08609250373256461
adult,BasicFACMIM_lambda0.5,0.8364444444444444,0.8079999999999999,-0.028444444444444494,0.892034015119826,0.8606704274147479,0.03136358770507819,0.7485668548251883,0.6599633530008223,0.08860350182436594
adult,ProxyRank_lambda0.0,0.8251111111111111,0.799111111111111,-0.026000000000000134,0.8759395421531089,0.8498273190770878,0.026112223076021124,0.8262800501401207,0.6624623749491014,0.1638176751910193
adult,FairmRMR_lambda0.0,0.8284444444444444,0.8048888888888889,-0.023555555555555552,0.9071201421085515,0.8871201421085537,0.019999999999997797,0.8243179586264162,0.6624623749491014,0.16185558367731478
adult,mRMR,0.8284444444444444,0.8048888888888889,-0.023555555555555552,0.9071201421085515,0.8871201421085537,0.019999999999997797,0.8243179586264162,0.6624623749491014,0.16185558367731478
adult,FairCFS_lambda0.0,0.8386666666666667,0.8055555555555555,-0.0331111111111112,0.9002770337708927,0.8897868087752201,0.010490224995672648,0.820816932670121,0.6599573649290613,0.1608595677410597
adult,SubsetFACMIM_lambda2.0,0.8077777777777778,0.8077777777777778,0.0,0.551601706813253,0.551601706813253,0.0,0.5108124615765395,0.5108124615765395,0.0
adult,BasicFACMIM_lambda2.0,0.8053333333333333,0.8053333333333333,0.0,0.6434102247236968,0.6434102247236968,0.0,0.5097924933532404,0.5097924933532404,0.0
adult,FairCFS_lambda2.0,0.8026666666666666,0.8026666666666666,0.0,0.7115628992834111,0.7115628992834111,0.0,0.5108244377200616,0.5108244377200616,0.0
adult,ProxyRank_lambda2.0,0.810888888888889,0.810888888888889,0.0,0.7164172116517342,0.7164172116517342,0.0,0.5039421472426926,0.5039421472426926,0.0
adult,BasicFACMIM_lambda1.0,0.8119999999999999,0.8119999999999999,0.0,0.74228959685151,0.74228959685151,0.0,0.5118024894410335,0.5118024894410335,0.0
adult,FairmRMR_lambda2.0,0.8088888888888889,0.8088888888888889,0.0,0.8030014317720671,0.8030014317720671,0.0,0.5525253694640276,0.5525253694640276,0.0
adult,FairCFS_lambda1.0,0.8284444444444444,0.807111111111111,-0.021333333333333426,0.7976918655500178,0.805668098438737,-0.007976232888719181,0.6439851815184153,0.5510582918825699,0.09292688963584539
adult,FairmRMR_lambda1.0,0.8300000000000001,0.8088888888888889,-0.02111111111111119,0.792670905256804,0.8030014317720688,-0.010330526515264893,0.6425001397216744,0.5525253694640276,0.08997477025764677
adult,FairmRMR_lambda0.5,0.8322222222222222,0.8077777777777778,-0.02444444444444438,0.792670905256804,0.8030014317720706,-0.01033052651526667,0.6425001397216744,0.5525253694640276,0.08997477025764677
adult,FairLasso_lambda1.0,0.819111111111111,0.7811111111111111,-0.03799999999999992,0.8161718858501725,0.8276811317778403,-0.011509245927667777,0.817798944502551,0.6445879807423612,0.17321096376018974
adult,FairLasso_lambda2.0,0.819111111111111,0.7811111111111111,-0.03799999999999992,0.8161718858501725,0.8276811317778403,-0.011509245927667777,0.817798944502551,0.6445879807423612,0.17321096376018974
adult,FairCFS_lambda0.5,0.8295555555555555,0.8042222222222222,-0.02533333333333332,0.7552194035599129,0.8879502171071092,-0.1327308135471963,0.6698456674304785,0.6639653809611255,0.005880286469353013
